ID	x	y
1	25.0514	5.7475
2	26.6614	7.3414
3	25.2653	6.2466
4	25.2285	4.7447
5	25.7529	5.1564
6	24.0785	5.6693
7	25.2722	6.8676
8	24.6535	6.2443
9	26.9834	6.633
10	25.7437	6.3179
11	26.4774	7.7416
12	26.7373	4.4756
13	27.1812	6.2972
14	25.4999	5.6739
15	25.3021	6.1431
16	23.3609	5.6601
17	25.5482	5.7107
18	26.2198	5.7337
19	25.884	6.3294
20	24.4649	5.7521
21	24.7708	6.7572
22	25.3274	5.6463
23	25.999	4.8551
24	25.0238	6.2742
25	25.8242	6.7848
26	25.4286	6.2834
27	27.3445	6.4697
28	24.6236	6.1178
29	27.126	6.1109
30	25.677	5.9085
31	25.539	6.3777
32	25.0491	6.0603
33	26.5924	6.0925
34	25.217	7.7531
35	25.2492	5.6486
36	24.941	5.0184
37	25.2814	7.5461
38	24.8191	6.1316
39	26.0105	6.8377
40	25.0215	6.564
41	25.1618	6.3064
42	25.8955	5.4393
43	24.8375	5.4416
44	25.4562	6.702
45	25.7161	5.5152
46	26.7212	4.7424
47	24.4649	7.2471
48	24.6328	5.3473
49	25.7253	6.7296
50	27.1168	5.6946
51	26.4958	5.9039
52	25.1158	6.1914
53	25.6103	7.6197
54	26.3026	6.7802
55	24.7915	6.2627
56	25.0997	5.8004
57	25.4838	7.0148
58	25.4217	7.3138
59	27.1306	6.9573
60	24.3338	5.1679
61	24.6236	5.6877
62	25.5183	4.8229
63	26.39	7.0401
64	24.3039	4.8827
65	25.5275	4.9333
66	24.8973	7.1919
67	24.7731	6.0925
68	26.5855	6.8423
69	25.6356	5.6371
70	26.7718	5.5336
71	24.8536	5.5152
72	25.8587	5.2208
73	25.2538	5.5727
74	25.4838	4.9333
75	25.5436	5.9844
76	23.1838	5.7314
77	27.7102	6.2535
78	25.1204	4.6504
79	25.2538	5.5681
80	25.5137	6.357
81	27.2249	5.5727
82	24.6581	5.9936
83	25.1894	5.4991
84	25.2446	5.9591
85	24.8007	4.4158
86	26.275	5.5888
87	25.8748	6.5456
88	24.6328	6.7503
89	24.8766	4.4664
90	26.4498	6.6997
91	25.148	5.9292
92	24.5914	5.8004
93	25.6954	5.9867
94	26.344	5.9522
95	26.8224	5.667
96	26.1347	5.0161
97	25.263	5.3082
98	24.6305	6.8354
99	25.8035	6.1937
100	26.0243	7.5576
101	18.4941	12.5877
102	18.1606	12.5486
103	17.9628	10.4625
104	17.7558	12.1231
105	17.4867	10.6626
106	16.7139	11.5849
107	17.259	11.7482
108	17.4959	11.5596
109	18.7908	10.497
110	18.3607	11.8287
111	17.2038	11.7689
112	16.96	10.6373
113	17.2866	12.2933
114	17.3694	11.5596
115	17.9858	11.5067
116	18.0272	12.6176
117	17.1026	13.1719
118	17.5212	11.8747
119	17.512	10.9915
120	16.7898	12.2128
121	17.1233	11.6102
122	18.6137	11.3802
123	16.7714	11.3871
124	16.0676	10.8121
125	17.8041	11.7022
126	17.8984	9.945
127	16.638	12.9649
128	16.4632	10.658
129	18.5125	11.8425
130	17.9306	12.1898
131	17.6132	13.4686
132	16.7392	11.0306
133	18.4642	11.7137
134	17.3625	12.0035
135	17.5557	11.2123
136	17.6868	11.4354
137	18.5171	9.876
138	16.1251	10.6649
139	17.5419	11.8885
140	17.8961	11.8057
141	18.2365	11.7666
142	18.1008	11.3641
143	18.3653	12.0633
144	19.3635	11.6286
145	17.9237	11.5573
146	16.9853	12.3186
147	16.8749	11.5182
148	18.0272	11.9621
149	17.6293	11.3503
150	16.5575	11.3388
151	18.2388	11.4676
152	17.811	11.4768
153	16.1895	9.968
154	16.845	12.9235
155	17.4637	10.8213
156	17.6339	10.8144
157	17.4384	12.2128
158	17.9421	11.8057
159	16.615	12.0702
160	15.6398	11.2284
161	16.7415	11.8793
162	16.8197	12.1162
163	15.9181	11.4124
164	17.8363	11.8563
165	17.696	11.9414
166	16.845	10.6672
167	18.5378	11.6516
168	17.1877	11.9828
169	18.4527	11.2468
170	16.8956	11.1065
171	18.1422	11.9966
172	16.8059	11.1318
173	17.4913	10.428
174	16.3045	10.8765
175	17.4453	9.8668
176	17.5396	11.4791
177	17.7328	11.21
178	17.466	10.4234
179	18.4803	12.0955
180	17.2889	11.7873
181	18.3883	10.0025
182	17.6523	11.509
183	17.4982	11.9552
184	17.5948	11.3848
185	17.7328	11.6562
186	19.3934	12.5601
187	17.9651	12.5256
188	17.0428	11.3595
189	17.6086	11.7206
190	18.9817	11.6999
191	17.1992	12.5969
192	16.9163	11.4929
193	17.3096	11.1893
194	18.9403	11.6999
195	17.098	13.5744
196	16.3206	12.0679
197	18.4343	12.4474
198	18.3124	11.6631
199	16.7277	11.6654
200	18.2457	13.0201
201	8.4155	9.7633
202	7.1413	10.3981
203	7.691	11.969
204	8.6363	9.8139
205	7.8704	10.957
206	7.2103	11.1249
207	7.6289	9.899
208	7.5645	8.8824
209	7.5967	9.5241
210	8.1372	10.3015
211	7.8106	11.3227
212	8.9514	11.0628
213	8.8456	10.3866
214	8.6869	11.0007
215	7.6611	10.7592
216	8.1648	10.3061
217	9.1515	10.796
218	8.5029	9.1791
219	8.1441	10.8443
220	9.0756	9.3723
221	7.8428	9.9703
222	8.8295	10.4648
223	8.1993	9.7863
224	9.2021	11.0076
225	8.1625	10.474
226	8.2085	9.9634
227	8.8456	11.5619
228	9.209	11.0467
229	8.588	11.0329
230	7.8934	11.3756
231	7.898	10.2049
232	9.1584	10.8535
233	8.9813	9.7127
234	8.6271	11.8379
235	7.806	11.4975
236	7.9233	10.4004
237	8.8042	10.3015
238	8.8272	11.0283
239	9.715	9.9151
240	8.3189	9.0365
241	9.5954	9.1469
242	7.4081	9.8001
243	9.0733	8.9307
244	7.9118	9.0848
245	8.1717	9.0687
246	9.393	9.4735
247	7.5277	10.6994
248	7.3575	10.3268
249	10.1635	9.1239
250	9.4344	12.3485
251	8.8249	9.9335
252	7.6979	10.1405
253	9.002	11.1433
254	7.3253	9.6644
255	8.0636	11.1088
256	6.8768	10.4303
257	7.737	10.3613
258	7.0953	11.1433
259	9.6023	9.0526
260	6.0695	9.669
261	7.0815	10.4993
262	8.2729	11.1157
263	7.5461	10.7178
264	9.1837	9.8484
