ID	A1	A2
1	-3.381267	54.869917
2	-3.388342	54.863554
3	-3.389556	54.868069
4	-3.386349	54.869517
5	-3.387233	54.868024
6	-3.38862	54.868943
7	-3.386686	54.868884
8	-3.389249	54.865467
9	-3.385549	54.873436
10	-3.364677	54.890397
11	-3.357459	54.861198
12	-3.380599	54.877725
13	-3.18158	54.819126
14	-3.169833	54.846165
15	-3.158926	54.818284
16	-3.15195	54.817047
17	-3.172818	54.823974
18	-3.176836	54.822974
19	-3.162993	54.82495
20	-3.171321	54.82442
21	-3.173981	54.823298
22	-3.169183	54.822625
23	-3.17559	54.822438
24	-3.170421	54.830989
25	-3.162442	54.827435
26	-3.166432	54.829248
27	-3.160497	54.825836
28	-3.160753	54.826625
29	-3.157394	54.827295
30	-3.160816	54.82231
31	-3.158283	54.824078
32	-3.162213	54.824355
33	-3.159825	54.824674
34	-3.161338	54.824786
35	-3.161597	54.825116
36	-3.160717	54.825358
37	-3.115071	54.606239
38	-3.18742	54.788486
39	-3.189282	54.78783
40	-3.087597	54.848251
41	-3.184066	54.904065
42	-3.054483	54.841551
43	-3.089501	54.79868
44	-3.057198	54.739876
45	-3.321721	54.763101
46	-3.316201	54.766388
47	-3.296598	54.766769
48	-3.326696	54.766938
49	-3.236306	54.775497
50	-3.332586	54.765022
51	-3.322071	54.765254
52	-3.327266	54.763948
53	-3.331525	54.765852
54	-3.328396	54.765221
55	-3.331885	54.763547
56	-3.332315	54.767173
57	-3.333876	54.763615
58	-3.409362	54.839046
59	-3.277749	54.848771
60	-3.429453	54.774354
61	-3.38992	54.807078
62	-3.374705	54.749372
63	-3.270304	54.794737
64	-3.28475	54.782345
65	-3.306729	54.720367
66	-3.280621	54.763389
67	-3.452042	54.703587
68	-3.443437	54.71212
69	-3.429665	54.71249
70	-3.458029	54.706077
71	-3.442248	54.713177
72	-3.433775	54.711507
73	-3.448532	54.708312
74	-3.451269	54.705843
75	-3.446011	54.72904
76	-3.415493	54.737426
77	-3.441871	54.712175
78	-3.433617	54.733402
79	-3.488479	54.70985
80	-3.490472	54.71129
81	-3.487647	54.710867
82	-3.488525	54.712815
83	-3.496102	54.714537
84	-3.497286	54.715071
85	-3.497294	54.715709
86	-3.496536	54.713238
87	-3.496581	54.718252
88	-3.498108	54.712095
89	-3.499049	54.708983
90	-3.495039	54.716006
91	-3.49804	54.714468
92	-3.497198	54.713949
93	-3.499622	54.713155
94	-3.500873	54.714245
95	-3.504591	54.705669
96	-3.500099	54.716843
97	-3.497446	54.71266
98	-3.477253	54.707623
99	-3.480984	54.708207
100	-3.485771	54.710494
101	-3.485441	54.708269
102	-3.481794	54.705726
103	-3.485694	54.710109
104	-3.481507	54.706385
105	-3.493648	54.705643
106	-3.485901	54.707689
107	-3.485717	54.705201
108	-3.469175	54.688102
109	-3.466855	54.687438
110	-3.518616	54.688885
111	-3.517334	54.691535
112	-3.519735	54.689788
113	-3.516124	54.694875
114	-3.499634	54.688241
115	-3.519395	54.686907
116	-3.42253	54.660321
117	-3.439585	54.667363
118	-3.43545	54.672355
119	-3.426501	54.659932
120	-3.435235	54.67021
121	-3.410628	54.657314
122	-3.424936	54.671024
123	-3.412991	54.658383
124	-3.424041	54.67027
125	-3.387641	54.705097
126	-3.3861	54.704072
127	-3.374697	54.671595
128	-3.378833	54.670092
129	-3.363657	54.663784
130	-3.362725	54.663264
131	-3.364375	54.662985
132	-3.364631	54.664142
133	-3.367474	54.663867
134	-3.373339	54.668132
135	-3.363446	54.663031
136	-3.366124	54.661977
137	-3.371891	54.663341
138	-3.362814	54.664072
139	-3.364864	54.662332
140	-3.362884	54.661995
141	-3.367374	54.664111
142	-3.36582	54.66447
143	-3.368067	54.660759
144	-3.362241	54.660376
145	-3.363868	54.662191
146	-3.369561	54.663223
147	-3.367889	54.662847
148	-3.450504	54.656583
149	-3.445033	54.626468
150	-3.461106	54.611166
151	-3.355171	54.657561
152	-3.356009	54.659906
153	-3.35342	54.664124
154	-3.348195	54.665063
155	-3.359057	54.661607
156	-3.351412	54.662016
157	-3.360629	54.664097
158	-3.355978	54.661794
159	-3.354575	54.660605
160	-3.363636	54.664998
161	-3.361874	54.664712
162	-3.353822	54.663607
163	-3.372495	54.654139
164	-3.369963	54.659489
165	-3.376052	54.66306
166	-3.304671	54.618041
167	-3.309901	54.615018
168	-3.274391	54.541628
169	-3.543898	54.643375
170	-3.545142	54.640609
171	-3.546007	54.644229
172	-3.54338	54.641557
173	-3.545177	54.644393
174	-3.541893	54.640759
175	-3.545583	54.641215
176	-3.546708	54.64147
177	-3.544627	54.642557
178	-3.543836	54.644185
179	-3.546554	54.642712
180	-3.542472	54.642944
181	-3.544584	54.642243
182	-3.542323	54.64229
183	-3.540225	54.645408
184	-3.541544	54.642596
185	-3.541651	54.641328
186	-3.542944	54.642318
187	-3.540155	54.640277
188	-3.549454	54.641938
189	-3.549394	54.64078
190	-3.54956	54.639438
191	-3.546193	54.640128
192	-3.54705	54.640666
193	-3.549107	54.645466
194	-3.552843	54.645472
195	-3.560684	54.645865
196	-3.546645	54.649191
197	-3.562969	54.646052
198	-3.554177	54.648349
199	-3.547899	54.651593
200	-3.551622	54.646395
201	-3.52431	54.66408
202	-3.525546	54.665601
203	-3.516539	54.665229
204	-3.527272	54.665732
205	-3.534969	54.650284
206	-3.519861	54.663255
207	-3.56121	54.629681
208	-3.561815	54.624442
209	-3.56065	54.630416
210	-3.562583	54.62587
211	-3.564103	54.621887
212	-3.562858	54.628194
213	-3.565722	54.623331
214	-3.559751	54.623129
215	-3.56099	54.619482
216	-3.563998	54.617547
217	-3.556679	54.619754
218	-3.564043	54.618724
219	-3.558255	54.63219
220	-3.557611	54.631974
221	-3.555409	54.629477
222	-3.55831	54.631201
223	-3.556147	54.634617
224	-3.561747	54.635192
225	-3.556302	54.628531
226	-3.55604	54.631814
227	-3.570067	54.635579
228	-3.556723	54.634691
229	-3.559821	54.635073
230	-3.558565	54.629778
231	-3.551591	54.635404
232	-3.551471	54.639989
233	-3.555774	54.637831
234	-3.553454	54.638337
235	-3.555322	54.641405
236	-3.564398	54.640488
237	-3.561407	54.639655
238	-3.555959	54.640641
239	-3.554432	54.640832
240	-3.55128	54.639039
241	-3.550103	54.643943
242	-3.547461	54.643752
243	-3.551896	54.645035
244	-3.557874	54.642486
245	-3.557657	54.644511
246	-3.556974	54.644089
247	-3.548655	54.643746
248	-3.547552	54.644102
249	-3.555236	54.643617
250	-3.554719	54.642662
251	-3.555844	54.643726
252	-3.557225	54.642135
253	-3.556651	54.643338
254	-3.557548	54.645322
255	-3.554052	54.644279
256	-3.555138	54.64227
257	-3.555274	54.642583
258	-3.557472	54.640901
259	-3.547283	54.64477
260	-3.558539	54.643269
261	-3.555525	54.644683
262	-3.558716	54.626432
263	-3.55021	54.627602
264	-3.557388	54.62653
265	-3.557795	54.625851
266	-3.551691	54.629066
267	-3.55256	54.630331
268	-3.55681	54.624803
269	-3.558561	54.625616
270	-3.558375	54.627237
271	-3.55048	54.631032
272	-3.550207	54.630802
273	-3.55362	54.632951
274	-3.5481	54.632824
275	-3.547277	54.629114
276	-3.550376	54.629532
277	-3.550323	54.628535
278	-3.547729	54.63202
279	-3.542772	54.632856
280	-3.546621	54.632627
281	-3.541137	54.633066
