ID	a1	a2
1	0.22896	0.30303
2	0.22896	0.28956
3	0.22896	0.27273
4	0.23232	0.25926
5	0.23569	0.24242
6	0.24242	0.23232
7	0.25926	0.22222
8	0.27609	0.21212
9	0.2963	0.21212
10	0.32323	0.21212
11	0.35017	0.21886
12	0.37037	0.21886
13	0.38721	0.23569
14	0.39731	0.24916
15	0.40404	0.26936
16	0.40404	0.2862
17	0.40404	0.3064
18	0.39731	0.3266
19	0.21886	0.3165
20	0.21886	0.29966
21	0.21886	0.28956
22	0.22559	0.26936
23	0.22222	0.2862
24	0.22896	0.25253
25	0.22896	0.23906
26	0.24242	0.22896
27	0.24916	0.21212
28	0.26936	0.20202
29	0.2862	0.20202
30	0.30303	0.20202
31	0.31987	0.20202
32	0.32997	0.20202
33	0.34343	0.20202
34	0.3569	0.20875
35	0.38384	0.20875
36	0.39731	0.22559
37	0.37037	0.22559
38	0.40741	0.23569
39	0.41751	0.25589
40	0.41751	0.26936
41	0.41751	0.28956
42	0.42088	0.3064
43	0.41077	0.31987
44	0.20875	0.31313
45	0.20875	0.2862
46	0.20875	0.2963
47	0.21549	0.27946
48	0.20875	0.26936
49	0.21549	0.25253
50	0.21549	0.26599
51	0.21886	0.23569
52	0.22222	0.22559
53	0.22896	0.21886
54	0.23569	0.20539
55	0.25589	0.19529
56	0.26599	0.19192
57	0.27273	0.19192
58	0.28956	0.18855
59	0.3064	0.18855
60	0.31987	0.18855
61	0.34343	0.18519
62	0.36364	0.18519
63	0.38384	0.20202
64	0.37037	0.20202
65	0.35354	0.19192
66	0.33333	0.19192
67	0.367	0.19865
68	0.36364	0.21212
69	0.39394	0.21212
70	0.40404	0.22222
71	0.41414	0.23569
72	0.42088	0.24579
73	0.42424	0.26599
74	0.42761	0.2862
75	0.42761	0.29966
76	0.42424	0.3165
77	0.41077	0.32997
78	0.32997	0.18182
79	0.30976	0.17845
80	0.28956	0.17845
81	0.27946	0.17845
82	0.26263	0.18182
83	0.23906	0.19192
84	0.22896	0.19865
85	0.37374	0.23569
86	0.39731	0.23906
87	0.41077	0.25253
88	0.22222	0.20875
89	0.21549	0.21886
90	0.20875	0.23232
91	0.20202	0.24579
92	0.19865	0.25926
93	0.19865	0.26599
94	0.19865	0.27609
95	0.19865	0.2862
96	0.19529	0.29966
97	0.19529	0.31313
98	0.20202	0.30303
99	0.39057	0.21886
100	0.38047	0.22222
101	0.39731	0.26263
102	0.38721	0.24579
103	0.34007	0.21549
104	0.36364	0.22896
105	0.40067	0.27609
106	0.40067	0.2963
107	0.42088	0.33333
108	0.42761	0.32323
109	0.29293	0.2963
110	0.28283	0.2862
111	0.2862	0.27609
112	0.2862	0.26599
113	0.29966	0.25926
114	0.31313	0.25926
115	0.3266	0.27273
116	0.3266	0.2963
117	0.31313	0.3064
118	0.30303	0.3064
119	0.30303	0.29293
120	0.29293	0.28956
121	0.30303	0.27609
122	0.3165	0.28283
123	0.30976	0.28283
124	0.3165	0.29293
125	0.2963	0.27609
126	0.30976	0.26599
127	0.31987	0.27273
128	0.32997	0.28956
129	0.33333	0.27946
130	0.29966	0.26599
131	0.31987	0.26263
132	0.32997	0.26599
133	0.2862	0.33333
134	0.2963	0.32997
135	0.31313	0.3266
136	0.32997	0.33333
137	0.3367	0.36364
138	0.31987	0.38047
139	0.29966	0.38047
140	0.2862	0.367
141	0.2862	0.34343
142	0.2963	0.3367
143	0.30976	0.3367
144	0.3165	0.3367
145	0.31987	0.3468
146	0.29966	0.35354
147	0.30303	0.367
148	0.30976	0.36027
149	0.31987	0.36364
150	0.30976	0.37374
151	0.3266	0.37374
152	0.3367	0.35017
153	0.3064	0.3468
154	0.29293	0.36364
155	0.28283	0.3569
156	0.32997	0.3569
157	0.32997	0.34007
158	0.32323	0.32997
159	0.3064	0.32997
160	0.30976	0.40067
161	0.31987	0.40067
162	0.33333	0.40741
163	0.29966	0.40404
164	0.2862	0.41414
165	0.27609	0.43771
166	0.27946	0.46128
167	0.29966	0.46465
168	0.31987	0.46465
169	0.3367	0.45791
170	0.3367	0.42761
171	0.32323	0.42088
172	0.30976	0.42088
173	0.2963	0.42761
174	0.2862	0.44444
175	0.29966	0.45118
176	0.30976	0.44444
177	0.30976	0.43098
178	0.3064	0.42424
179	0.2963	0.41414
180	0.2862	0.43434
181	0.2963	0.44108
182	0.30303	0.43771
183	0.31313	0.41077
184	0.32997	0.41414
185	0.33333	0.42761
186	0.31987	0.44108
187	0.29966	0.41414
188	0.2963	0.40404
189	0.2862	0.40404
190	0.28283	0.41414
191	0.2862	0.42761
192	0.29293	0.42088
193	0.27273	0.43098
194	0.27273	0.41414
195	0.29293	0.41414
196	0.32323	0.40741
197	0.27946	0.42088
198	0.2963	0.39731
199	0.3064	0.39731
200	0.33333	0.41751
201	0.33333	0.44444
202	0.3266	0.43434
203	0.32323	0.45118
204	0.30303	0.45791
205	0.2862	0.45791
206	0.27946	0.45118
207	0.27273	0.44781
208	0.28956	0.46801
209	0.31313	0.45118
210	0.30976	0.46465
211	0.31987	0.46465
212	0.3266	0.46128
213	0.34007	0.44444
214	0.3064	0.41077
215	0.32323	0.41414
216	0.3165	0.42424
217	0.31987	0.43434
218	0.3367	0.43771
219	0.32997	0.45118
220	0.31313	0.45791
221	0.29293	0.45455
222	0.2963	0.45791
223	0.2963	0.42088
224	0.3165	0.41751
225	0.31987	0.43434
226	0.31313	0.43771
227	0.30303	0.44444
228	0.29293	0.44108
229	0.29293	0.43434
230	0.31987	0.40741
231	0.30976	0.40741
232	0.27946	0.43098
233	0.39394	0.62626
234	0.40067	0.61953
235	0.40741	0.61279
236	0.41751	0.60269
237	0.42761	0.59259
238	0.43771	0.57912
239	0.39394	0.61953
240	0.40067	0.61279
241	0.40741	0.60606
242	0.41414	0.59933
243	0.41751	0.59259
244	0.42088	0.58586
245	0.42761	0.57912
246	0.43434	0.58923
247	0.43098	0.59933
248	0.42424	0.60943
249	0.41077	0.61953
250	0.40404	0.62963
251	0.39394	0.61279
252	0.40067	0.60269
253	0.42088	0.61279
254	0.40741	0.59596
255	0.41751	0.60943
256	0.43434	0.57576
257	0.44108	0.58586
258	0.43098	0.58249
259	0.38384	0.633
260	0.39057	0.63973
261	0.38721	0.62963
262	0.39731	0.633
263	0.38384	0.64646
264	0.38384	0.6229
265	0.37374	0.71044
266	0.38047	0.70707
267	0.39057	0.69697
268	0.39731	0.68687
269	0.40741	0.67677
270	0.41751	0.66667
271	0.42424	0.65993
272	0.43771	0.64983
273	0.44444	0.6431
274	0.45455	0.6229
275	0.46801	0.60269
276	0.48485	0.58586
277	0.49832	0.57239
278	0.47811	0.59596
279	0.46128	0.60943
280	0.44444	0.633
281	0.43098	0.64646
282	0.41077	0.6633
283	0.40067	0.6734
284	0.39057	0.68687
285	0.38047	0.69697
286	0.37037	0.7037
287	0.39057	0.71044
288	0.40067	0.70707
289	0.40404	0.69697
290	0.41077	0.69024
291	0.41751	0.68687
292	0.42424	0.67677
293	0.43434	0.67003
294	0.43771	0.65993
295	0.45118	0.6532
296	0.45791	0.6431
297	0.46128	0.62963
298	0.47138	0.61616
299	0.48148	0.61279
300	0.47811	0.60606
301	0.48822	0.60269
302	0.49158	0.59259
303	0.50168	0.57912
304	0.49495	0.58249
305	0.45791	0.61953
306	0.47138	0.6229
307	0.42424	0.6532
308	0.45455	0.633
309	0.46465	0.63636
310	0.39731	0.68013
311	0.41077	0.6835
312	0.41414	0.6734
313	0.42424	0.67003
314	0.43771	0.70707
315	0.44781	0.70034
316	0.46128	0.6936
317	0.46801	0.6835
318	0.47811	0.6734
319	0.48148	0.6633
320	0.49158	0.6532
321	0.47811	0.6734
322	0.44444	0.71717
323	0.45791	0.71044
324	0.46465	0.69697
325	0.47475	0.6936
326	0.48148	0.68013
327	0.49158	0.6734
328	0.50168	0.6633
329	0.49495	0.66667
330	0.45455	0.70707
331	0.44781	0.71044
332	0.45455	0.7037
333	0.45455	0.69697
334	0.46801	0.7037
335	0.50168	0.65657
336	0.49158	0.65657
337	0.50168	0.6532
338	0.50168	0.64646
339	0.51178	0.64983
340	0.51178	0.63973
341	0.50168	0.63636
342	0.51178	0.633
343	0.47138	0.67677
344	0.47475	0.69024
345	0.48148	0.6835
346	0.46465	0.69024
347	0.53535	0.72727
348	0.54209	0.74074
349	0.55219	0.75084
350	0.56902	0.77104
351	0.58923	0.78788
352	0.59933	0.80471
353	0.61953	0.82492
354	0.54209	0.73064
355	0.55219	0.74747
356	0.55892	0.75084
357	0.55892	0.76431
358	0.57239	0.76431
359	0.57239	0.78451
360	0.58249	0.77778
361	0.58249	0.79461
362	0.59259	0.78788
363	0.58923	0.80135
364	0.60606	0.79461
365	0.61953	0.80808
366	0.60606	0.81145
367	0.61279	0.82155
368	0.57239	0.75421
369	0.56566	0.76094
370	0.55219	0.73737
371	0.56229	0.74411
372	0.633	0.81818
373	0.633	0.83165
374	0.62963	0.81818
375	0.61953	0.81818
376	0.61279	0.80135
377	0.633	0.81145
378	0.58249	0.78788
379	0.55556	0.75758
380	0.58249	0.76431
381	0.58586	0.77104
382	0.59259	0.78114
383	0.59596	0.79798
384	0.60606	0.80471
385	0.61616	0.81481
386	0.60269	0.78788
387	0.53535	0.79125
388	0.53872	0.80135
389	0.55219	0.80808
390	0.54209	0.79798
391	0.55892	0.80135
392	0.56902	0.81818
393	0.58586	0.83165
394	0.57576	0.81818
