ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62
1	1	6	15	12	1	0	0	0	7	16	6	6	10	0	0	0	8	16	2	0	11	2	0	0	5	16	3	0	5	7	0	0	7	13	3	0	8	7	0	4	12	0	1	13	5	0	0	0	14	9	15	9	0	0	0	0	6	14	7	1	0	0
2	0	10	16	6	0	0	0	0	7	16	8	16	5	0	0	0	11	16	0	6	14	3	0	0	12	12	0	0	11	11	0	0	12	12	0	0	8	12	0	7	15	1	0	13	11	0	0	0	16	8	10	15	3	0	0	0	10	16	15	3	0	0
3	0	8	15	16	13	0	0	0	1	11	9	11	16	1	0	0	0	0	0	7	14	0	0	0	0	3	4	14	12	2	0	0	1	16	16	16	16	10	0	2	12	16	10	0	0	0	0	0	2	16	4	0	0	0	0	0	9	14	0	0	0	0
4	0	0	3	11	16	0	0	0	0	5	16	11	13	7	0	0	3	15	8	1	15	6	0	0	11	16	16	16	16	10	0	0	1	4	4	13	10	2	0	0	0	0	15	4	0	0	0	0	0	3	16	0	0	0	0	0	0	1	15	2	0	0
5	0	5	14	4	0	0	0	0	0	13	8	0	0	0	0	0	3	14	4	0	0	0	0	0	6	16	14	9	2	0	0	0	4	16	3	4	11	2	0	0	14	3	0	4	11	0	0	0	10	8	4	11	12	0	0	0	4	12	14	7	0	0
6	0	11	16	10	1	0	0	0	4	16	10	15	8	0	0	0	4	16	3	11	13	0	0	0	1	14	6	9	14	0	0	0	0	0	0	12	10	0	0	0	0	6	16	6	0	0	0	0	5	15	15	8	8	3	0	0	10	16	16	16	16	6
7	0	1	11	13	11	7	0	0	0	9	14	6	4	3	0	0	0	16	12	16	15	2	0	0	5	16	10	4	12	6	0	0	1	1	0	0	10	4	0	0	0	0	5	10	0	0	0	0	0	8	15	3	0	0	0	0	1	13	5	0	0	0
8	0	8	10	8	7	2	0	0	1	15	14	12	12	4	0	0	7	15	12	5	0	0	0	0	5	14	12	15	7	0	0	0	0	0	0	2	13	0	0	0	0	0	4	12	0	0	0	0	6	7	14	5	0	0	0	0	4	13	8	0	0	0
9	0	15	2	14	13	2	0	0	0	16	15	12	13	8	0	0	2	16	12	1	6	10	0	0	7	15	3	0	5	8	0	0	5	12	0	0	8	8	0	5	12	0	7	15	5	0	0	5	16	13	16	6	0	0	0	0	10	12	5	0	0	0
10	0	3	13	13	2	0	0	0	6	16	12	10	8	0	0	0	9	15	12	16	6	0	0	0	10	16	16	13	0	0	0	0	1	12	16	12	14	4	0	0	11	8	0	3	12	0	0	0	13	11	8	13	12	0	0	0	3	15	11	6	0	0
11	0	6	14	14	16	16	8	0	0	7	11	8	10	15	3	0	0	0	0	4	15	10	0	0	1	15	16	16	16	14	0	0	3	11	13	13	0	0	0	0	0	15	5	0	0	0	0	0	7	13	0	0	0	0	0	0	10	12	0	0	0	0
12	0	0	3	16	11	1	0	0	0	0	8	16	16	1	0	0	0	0	9	16	14	0	0	0	1	7	16	16	11	0	0	0	9	16	16	16	8	0	0	1	8	6	16	7	0	0	0	0	0	5	16	9	0	0	0	0	0	2	14	14	1	0
13	0	0	4	13	16	16	3	0	0	8	16	9	12	16	4	0	7	16	3	3	15	13	0	0	9	15	14	16	16	6	0	0	1	8	7	12	15	0	0	0	0	0	13	10	0	0	0	0	0	3	15	6	0	0	0	0	0	5	15	4	0	0
14	0	7	12	6	2	0	0	0	0	16	16	13	14	1	0	0	9	16	11	3	0	0	0	0	8	16	16	16	4	0	0	0	1	2	0	6	12	0	0	0	0	0	7	12	0	0	0	0	6	9	16	6	0	0	0	0	5	16	9	0	0	0
15	0	7	11	11	6	0	0	0	9	16	12	10	14	0	0	0	5	2	0	4	14	0	0	0	0	1	5	14	6	0	0	0	1	15	16	16	10	0	0	0	7	4	4	15	6	0	0	0	5	4	8	13	12	0	0	0	14	16	12	10	1	0
16	1	10	15	8	0	0	0	0	6	16	7	11	8	0	0	0	7	16	3	1	13	1	0	0	7	13	0	0	10	6	0	0	8	12	0	0	14	4	0	3	16	0	6	15	2	0	0	0	15	9	16	4	0	0	0	0	9	15	8	0	0	0
17	0	0	1	11	7	0	0	0	0	2	13	10	16	4	0	0	0	13	4	1	16	0	0	0	6	14	8	12	16	7	0	0	0	8	8	15	10	2	0	0	0	1	12	1	0	0	0	0	0	4	16	0	0	0	0	0	0	3	15	0	0	0
18	0	5	12	16	16	3	0	0	0	11	11	4	16	9	0	0	0	0	4	8	16	5	0	0	0	4	16	16	16	14	0	0	0	0	11	14	1	0	0	0	0	13	10	0	0	0	0	0	3	16	1	0	0	0	0	0	8	12	0	0	0	0
19	0	1	8	13	13	2	0	0	4	16	8	1	12	4	0	0	7	13	3	10	13	0	0	0	3	15	15	14	15	0	0	0	0	13	10	0	10	6	0	0	11	5	0	9	8	0	0	0	7	11	4	14	2	0	0	0	1	13	12	4	0	0
20	0	0	2	13	12	4	0	0	0	3	15	15	13	12	0	0	2	15	14	1	12	8	0	0	8	16	14	16	16	11	0	0	3	16	16	16	16	10	0	0	0	0	8	13	0	0	0	0	0	0	13	7	0	0	0	0	0	0	15	3	0	0
21	0	4	11	15	16	15	0	0	0	13	13	8	13	14	0	0	0	0	0	0	15	5	0	0	0	2	4	10	15	1	0	0	0	10	16	16	16	8	0	0	1	13	13	1	0	0	0	0	1	16	6	0	0	0	0	0	6	14	2	0	0	0
